Vize,Final(min)
0,'50.0'
1,'49.57142857142858'
2,'49.14285714285714'
3,'48.714285714285715'
4,'48.285714285714285'
5,'47.85714285714286'
6,'47.42857142857143'
7,'47.0'
8,'46.57142857142858'
9,'46.14285714285714'
10,'45.714285714285715'
11,'45.285714285714285'
12,'44.857142857142854'
13,'44.42857142857143'
14,'44.0'
15,'43.57142857142857'
16,'43.142857142857146'
17,'42.714285714285715'
18,'42.28571428571429'
19,'41.85714285714286'
20,'41.42857142857143'
21,'41.0'
22,'40.57142857142857'
23,'40.142857142857146'
24,'39.714285714285715'
25,'39.285714285714285'
26,'38.857142857142854'
27,'38.42857142857143'
28,'38.0'
29,'37.57142857142858'
30,'37.142857142857146'
31,'36.714285714285715'
32,'36.285714285714285'
33,'35.85714285714286'
34,'35.42857142857143'
35,'35.0'
36,'34.57142857142857'
37,'34.14285714285714'
38,'33.714285714285715'
39,'33.285714285714285'
40,'32.85714285714286'
41,'32.42857142857143'
42,'32.0'
43,'31.571428571428573'
44,'31.142857142857146'
45,'30.714285714285715'
46,'30.285714285714285'
47,'29.857142857142854'
48,'29.42857142857143'
49,'29.0'
50,'28.571428571428573'
51,'28.142857142857142'
52,'27.71428571428571'
53,'27.28571428571429'
54,'26.857142857142858'
55,'26.42857142857143'
56,'26.0'
57,'25.57142857142857'
58,'25.142857142857146'
59,'24.714285714285715'
60,'24.285714285714285'
61,'23.857142857142858'
62,'23.428571428571427'
63,'23.000000000000004'
64,'22.571428571428573'
65,'22.142857142857142'
66,'21.714285714285715'
67,'21.285714285714285'
68,'20.85714285714286'
69,'20.42857142857143'
70,'20.0'
71,'19.57142857142857'
72,'19.142857142857142'
73,'18.714285714285715'
74,'18.28571428571429'
75,'17.857142857142858'
76,'17.428571428571427'
77,'17.0'
78,'16.571428571428573'
79,'16.142857142857146'
80,'15.714285714285715'
81,'15.285714285714285'
82,'14.857142857142856'
83,'14.42857142857143'
84,'14.000000000000002'
85,'13.571428571428571'
86,'13.142857142857142'
87,'12.714285714285712'
88,'12.285714285714288'
89,'11.857142857142858'
90,'11.428571428571429'
91,'11.0'
92,'10.57142857142857'
93,'10.142857142857146'
94,'9.714285714285715'
95,'9.285714285714286'
96,'8.857142857142856'
97,'8.428571428571427'
98,'8.000000000000002'
99,'7.571428571428573'
100,'7.142857142857143'
